	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
194	2022-01-05	1	D2	1	26	tube_tip	0.49490044	0.71413755	0.97840637	0.7325599	0.99516135	None	0.98678386	0.72334872
195	2022-01-05	1	D2	1	26	tube_tip	0.32306048	0.7001311	0.96210605	0.7195031	0.981808	None	0.97195702	0.7098171
197	2022-01-05	1	D2	1	26	tube_tip	0.15070824	0.71703297	0.9527711	0.7389168	0.9728593	None	0.9628152	0.72797488
198	2022-01-05	1	D2	1	26	tube_tip	0.14009297	0.0	0.99392235	0.012477273	1.0	None	0.99696118	0.00623864
199	2022-01-05	1	D2	1	26	tube_tip	0.13986611	0.16974455	0.99466956	0.19364578	0.9999503	None	0.99730993	0.18169516
200	2022-01-05	1	D2	1	26	tube_tip	0.13425137	0.69669944	0.0	0.72077614	0.0038323393	None	0.00191617	0.70873779
202	2022-01-05	1	D2	1	26	tube_tip	0.12466749	0.0	0.83889306	0.010784548	0.86091053	None	0.8499018	0.00539227
203	2022-01-05	1	D2	1	26	tube_tip	0.12235403	0.14452821	0.97210723	0.1704382	0.9935234	None	0.98281532	0.15748321
205	2022-01-05	1	D2	1	26	tube_tip	0.09130396	0.0	0.13076608	0.021632645	0.16087963	None	0.14582286	0.01081632
206	2022-01-05	1	D2	1	26	tube_tip	0.09059355	0.0	0.0	0.0060226056	0.006645511	None	0.00332276	0.0030113
207	2022-01-05	1	D2	1	26	tube_tip	0.08574557	0.022087011	0.3645881	0.05058973	0.38924977	None	0.37691894	0.03633837
208	2022-01-05	1	D2	1	26	tube_tip	0.0850967	0.0325095	0.38239452	0.05565177	0.40278366	None	0.39258909	0.04408064
209	2022-01-05	1	D2	1	26	tube_tip	0.0823866	0.36002868	0.99580556	0.38609672	0.99965435	None	0.99772996	0.3730627
210	2022-01-05	1	D2	1	26	tube_tip	0.08068174	0.017199527	0.3768243	0.041745868	0.3996757	None	0.38825	0.0294727
211	2022-01-05	1	D2	1	26	tube_tip	0.078178	0.20773281	0.9962284	0.23363747	0.999304	None	0.9977662	0.22068514
212	2022-01-05	1	D2	1	26	tube_tip	0.074912205	0.4027884	0.9960275	0.42921335	0.9998023	None	0.9979149	0.41600088
213	2022-01-05	1	D2	1	26	tube_tip	0.074186064	0.34390014	0.9956264	0.37103665	0.9996411	None	0.99763375	0.3574684
214	2022-01-05	1	D2	1	26	tube_tip	0.073963016	0.110202506	0.9959908	0.13544157	0.999654	None	0.9978224	0.12282204
215	2022-01-05	1	D2	1	26	tube_tip	0.07372254	0.46877646	0.9958376	0.49581736	0.9998749	None	0.99785625	0.48229691
216	2022-01-05	1	D2	1	26	tube_tip	0.07123029	0.992132	0.99291146	1.0	1.0	None	0.99645573	0.996066
218	2022-01-05	1	D2	1	26	tube_tip	0.07025791	0.19133727	0.9963083	0.21904428	0.99937725	None	0.99784278	0.20519078
220	2022-01-05	1	D2	1	26	tube_tip	0.06898971	0.80202633	0.9963333	0.826961	0.9993624	None	0.99784785	0.81449366
221	2022-01-05	1	D2	1	26	tube_tip	0.064866506	0.13937648	0.99683005	0.1605068	0.99974483	None	0.99828744	0.14994164
223	2022-01-05	1	D2	1	26	tube_tip	0.063094236	0.23114122	0.9964789	0.2575137	0.99908984	None	0.99778437	0.24432746
229	2022-01-05	1	D2	1	26	tube_tip	0.058970317	0.015505895	0.0	0.042735424	0.0034328625	None	0.00171643	0.02912066
230	2022-01-05	1	D2	1	26	tube_tip	0.0588331	0.5068471	0.9959031	0.5363695	0.99994546	None	0.99792428	0.5216083
231	2022-01-05	1	D2	1	26	tube_tip	0.057853624	0.54559773	0.1486699	0.57364434	0.174454	None	0.16156195	0.55962103
232	2022-01-05	1	D2	1	26	tube_tip	0.05710081	0.50772357	0.0	0.53523755	0.0036317855	None	0.00181589	0.52148056
233	2022-01-05	1	D2	1	26	tube_tip	0.057012193	0.9953793	0.6835582	1.0	0.7103455	None	0.69695185	0.99768965
236	2022-01-05	1	D2	1	26	tube_tip	0.054768875	0.8907367	0.996435	0.9181167	0.9994878	None	0.9979614	0.9044267
240	2022-01-05	1	D2	1	26	tube_tip	0.05256941	0.31558028	0.9962734	0.34479192	0.9995668	None	0.9979201	0.3301861
241	2022-01-05	1	D2	1	26	tube_tip	0.05224122	0.03912456	0.0	0.0660233	0.003286126	None	0.00164306	0.05257393
243	2022-01-05	1	D2	1	26	tube_tip	0.051061317	0.995157	0.9791101	1.0	1.0	None	0.98955505	0.9975785
244	2022-01-05	1	D2	1	26	tube_tip	0.050992258	0.71316653	0.9964987	0.7353496	1.0	None	0.99824935	0.72425806
245	2022-01-05	1	D2	1	26	tube_tip	0.05078491	0.9337333	0.9963425	0.96089417	0.99961835	None	0.99798042	0.94731374
248	2022-01-05	1	D2	1	26	tube_tip	0.050689865	0.2064063	0.0	0.23497516	0.003216734	None	0.00160837	0.22069073
251	2022-01-05	1	D2	1	26	tube_tip	0.049363766	0.16356401	0.0	0.19182156	0.0031257556	None	0.00156288	0.17769279
253	2022-01-05	1	D2	1	26	tube_tip	0.049235217	0.12082119	0.0	0.14826237	0.0030984087	None	0.0015492	0.13454178
255	2022-01-05	1	D2	1	26	tube_tip	0.04862803	0.0	0.016102955	0.0033941995	0.043326113	None	0.02971453	0.0016971
257	2022-01-05	1	D2	1	26	tube_tip	0.047382977	0.7772923	0.9964909	0.80492693	0.9994851	None	0.997988	0.79110962
258	2022-01-05	1	D2	1	26	tube_tip	0.047375944	0.42499515	0.99642956	0.45417753	0.99961424	None	0.9980219	0.43958634
260	2022-01-05	1	D2	1	26	tube_tip	0.047002945	0.835864	0.99657136	0.86359173	0.9993891	None	0.99798023	0.84972786
261	2022-01-05	1	D2	1	26	tube_tip	0.04694758	0.05859548	0.0	0.08567859	0.003118342	None	0.00155917	0.07213704
263	2022-01-05	1	D2	1	26	tube_tip	0.04632276	0.86325526	0.9965084	0.89090633	0.9996081	None	0.99805825	0.87708079
